Coordinate,Rod_Number,Broken,Recessed,Excessed,Glue_on_Fibers
1_A_1P,,,,,
1_A_2P,,,,,
1_A_3P,,,,,
1_A_4P,,,,,
1_A_5S,,,,,
1_A_6S,,,,,
1_A_7S,,,,,
1_A_8S,,,,,
1_A_9P,,,,,
1_A_10P,,,,,
1_A_11P,,,,,
1_A_12P,,,,,
1_A_13S,,,,,
1_A_14S,,,,,
1_A_15S,,,,,
1_A_16S,,,,,
1_A_17P,,,,,
1_A_18P,,,,,
1_A_19P,,,,,
1_A_20P,,,,,
1_A_21S,,,,,
1_A_22S,,,,,
1_A_23S,,,,,
1_A_24S,,,,,
1_A_25P,,,,,
1_A_26P,,,,,
1_A_27P,,,,,
1_A_28P,,,,,
1_A_29S,,,,,
1_A_30S,,,,,
1_A_31S,,,,,
1_A_32S,,,,,
1_B_1P,,,,,
1_B_2P,,,,,
1_B_3P,,,,,
1_B_4P,,,,,
1_B_5S,,,,,
1_B_6S,,,,,
1_B_7S,,,,,
1_B_8S,,,,,
1_B_9P,,,,,
1_B_10P,,,,,
1_B_11P,,,,,
1_B_12P,,,,,
1_B_13S,,,,,
1_B_14S,,,,,
1_B_15S,,,,,
1_B_16S,,,,,
1_B_17P,,,,,
1_B_18P,,,,,
1_B_19P,,,,,
1_B_20P,,,,,
1_B_21S,,,,,
1_B_22S,,,,,
1_B_23S,,,,,
1_B_24S,,,,,
1_B_25P,,,,,
1_B_26P,,,,,
1_B_27P,,,,,
1_B_28P,,,,,
1_B_29S,,,,,
1_B_30S,,,,,
1_B_31S,,,,,
1_B_32S,,,,,
1_C_1Q,,,,,
1_C_2P,,,,,
1_C_3P,,,,,
1_C_4P,,,,,
1_C_5S,,,,,
1_C_6S,,,,,
1_C_7S,,,,,
1_C_8S,,,,,
1_C_9Q,,,,,
1_C_10Q,,,,,
1_C_11P,,,,,
1_C_12P,,,,,
1_C_13S,,,,,
1_C_14S,,,,,
1_C_15S,,,,,
1_C_16S,,,,,
1_C_17Q,,,,,
1_C_18Q,,,,,
1_C_19P,,,,,
1_C_20P,,,,,
1_C_21S,,,,,
1_C_22S,,,,,
1_C_23S,,,,,
1_C_24S,,,,,
1_C_25Q,,,,,
1_C_26Q,,,,,
1_C_27P,,,,,
1_C_28P,,,,,
1_C_29S,,,,,
1_C_30S,,,,,
1_C_31S,,,,,
1_C_32S,,,,,
1_D_1P,,,,,
1_D_2P,,,,,
1_D_3P,,,,,
1_D_4P,,,,,
1_D_5S,,,,,
1_D_6S,,,,,
1_D_7S,,,,,
1_D_8S,,,,,
1_D_9P,,,,,
1_D_10P,,,,,
1_D_11P,,,,,
1_D_12P,,,,,
1_D_13S,,,,,
1_D_14S,,,,,
1_D_15S,,,,,
1_D_16S,,,,,
1_D_17Q,,,,,
1_D_18Q,,,,,
1_D_19P,,,,,
1_D_20P,,,,,
1_D_21S,,,,,
1_D_22S,,,,,
1_D_23S,,,,,
1_D_24S,,,,,
1_D_25Q,,,,,
1_D_26Q,,,,,
1_D_27Q,,,,,
1_D_28Q,,,,,
1_D_29S,,,,,
1_D_30S,,,,,
1_D_31S,,,,,
1_D_32S,,,,,
1_E_1Q,,,,,
1_E_2Q,,,,,
1_E_3Q,,,,,
1_E_4Q,,,,,
1_E_5S,,,,,
1_E_6S,,,,,
1_E_7S,,,,,
1_E_8S,,,,,
1_E_9Q,,,,,
1_E_10Q,,,,,
1_E_11Q,,,,,
1_E_12Q,,,,,
1_E_13S,,,,,
1_E_14S,,,,,
1_E_15S,,,,,
1_E_16S,,,,,
1_E_17Q,,,,,
1_E_18Q,,,,,
1_E_19Q,,,,,
1_E_20Q,,,,,
1_E_21S,,,,,
1_E_22S,,,,,
1_E_23S,,,,,
1_E_24S,,,,,
1_E_25Q,,,,,
1_E_26Q,,,,,
1_E_27Q,,,,,
1_E_28Q,,,,,
1_E_29S,,,,,
1_E_30S,,,,,
1_E_31S,,,,,
1_E_32S,,,,,
2_F_1P,,,,,
2_F_2P,,,,,
1_F_3P,,,,,
